customer_id,name,email,signup_date,gender
1,Customer_1,user1@example.com,2022-01-01,M
2,Customer_2,user2@example.com,2022-01-02,F
3,Customer_3,user3@example.com,2022-01-03,F
4,Customer_4,user4@example.com,2022-01-04,M
5,Customer_5,user5@example.com,2022-01-05,F
6,Customer_6,user6@example.com,2022-01-06,F
7,Customer_7,user7@example.com,2022-01-07,F
8,Customer_8,user8@example.com,2022-01-08,F
9,Customer_9,user9@example.com,2022-01-09,F
10,Customer_10,user10@example.com,2022-01-10,F
11,Customer_11,user11@example.com,2022-01-11,F
12,Customer_12,user12@example.com,2022-01-12,M
13,Customer_13,user13@example.com,2022-01-13,M
14,Customer_14,user14@example.com,2022-01-14,F
15,Customer_15,user15@example.com,2022-01-15,M
16,Customer_16,user16@example.com,2022-01-16,M
17,Customer_17,user17@example.com,2022-01-17,M
18,Customer_18,user18@example.com,2022-01-18,M
19,Customer_19,user19@example.com,2022-01-19,M
20,Customer_20,user20@example.com,2022-01-20,F
21,Customer_21,user21@example.com,2022-01-21,M
22,Customer_22,user22@example.com,2022-01-22,F
23,Customer_23,user23@example.com,2022-01-23,F
24,Customer_24,user24@example.com,2022-01-24,M
25,Customer_25,user25@example.com,2022-01-25,M
26,Customer_26,user26@example.com,2022-01-26,F
27,Customer_27,user27@example.com,2022-01-27,F
28,Customer_28,user28@example.com,2022-01-28,F
29,Customer_29,user29@example.com,2022-01-29,F
30,Customer_30,user30@example.com,2022-01-30,M
31,Customer_31,user31@example.com,2022-01-31,F
32,Customer_32,user32@example.com,2022-02-01,M
33,Customer_33,user33@example.com,2022-02-02,F
34,Customer_34,user34@example.com,2022-02-03,M
35,Customer_35,user35@example.com,2022-02-04,F
36,Customer_36,user36@example.com,2022-02-05,F
37,Customer_37,user37@example.com,2022-02-06,M
38,Customer_38,user38@example.com,2022-02-07,F
39,Customer_39,user39@example.com,2022-02-08,F
40,Customer_40,user40@example.com,2022-02-09,M
41,Customer_41,user41@example.com,2022-02-10,M
42,Customer_42,user42@example.com,2022-02-11,F
43,Customer_43,user43@example.com,2022-02-12,M
44,Customer_44,user44@example.com,2022-02-13,F
45,Customer_45,user45@example.com,2022-02-14,F
46,Customer_46,user46@example.com,2022-02-15,F
47,Customer_47,user47@example.com,2022-02-16,F
48,Customer_48,user48@example.com,2022-02-17,F
49,Customer_49,user49@example.com,2022-02-18,M
50,Customer_50,user50@example.com,2022-02-19,F
51,Customer_51,user51@example.com,2022-02-20,M
52,Customer_52,user52@example.com,2022-02-21,F
53,Customer_53,user53@example.com,2022-02-22,F
54,Customer_54,user54@example.com,2022-02-23,F
55,Customer_55,user55@example.com,2022-02-24,F
56,Customer_56,user56@example.com,2022-02-25,M
57,Customer_57,user57@example.com,2022-02-26,F
58,Customer_58,user58@example.com,2022-02-27,M
59,Customer_59,user59@example.com,2022-02-28,M
60,Customer_60,user60@example.com,2022-03-01,F
61,Customer_61,user61@example.com,2022-03-02,F
62,Customer_62,user62@example.com,2022-03-03,M
63,Customer_63,user63@example.com,2022-03-04,F
64,Customer_64,user64@example.com,2022-03-05,M
65,Customer_65,user65@example.com,2022-03-06,F
66,Customer_66,user66@example.com,2022-03-07,M
67,Customer_67,user67@example.com,2022-03-08,M
68,Customer_68,user68@example.com,2022-03-09,M
69,Customer_69,user69@example.com,2022-03-10,M
70,Customer_70,user70@example.com,2022-03-11,M
71,Customer_71,user71@example.com,2022-03-12,F
72,Customer_72,user72@example.com,2022-03-13,F
73,Customer_73,user73@example.com,2022-03-14,M
74,Customer_74,user74@example.com,2022-03-15,M
75,Customer_75,user75@example.com,2022-03-16,M
76,Customer_76,user76@example.com,2022-03-17,F
77,Customer_77,user77@example.com,2022-03-18,F
78,Customer_78,user78@example.com,2022-03-19,M
79,Customer_79,user79@example.com,2022-03-20,F
80,Customer_80,user80@example.com,2022-03-21,M
81,Customer_81,user81@example.com,2022-03-22,M
82,Customer_82,user82@example.com,2022-03-23,F
83,Customer_83,user83@example.com,2022-03-24,M
84,Customer_84,user84@example.com,2022-03-25,F
85,Customer_85,user85@example.com,2022-03-26,F
86,Customer_86,user86@example.com,2022-03-27,F
87,Customer_87,user87@example.com,2022-03-28,F
88,Customer_88,user88@example.com,2022-03-29,F
89,Customer_89,user89@example.com,2022-03-30,F
90,Customer_90,user90@example.com,2022-03-31,M
91,Customer_91,user91@example.com,2022-04-01,F
92,Customer_92,user92@example.com,2022-04-02,F
93,Customer_93,user93@example.com,2022-04-03,M
94,Customer_94,user94@example.com,2022-04-04,M
95,Customer_95,user95@example.com,2022-04-05,F
96,Customer_96,user96@example.com,2022-04-06,M
97,Customer_97,user97@example.com,2022-04-07,M
98,Customer_98,user98@example.com,2022-04-08,F
99,Customer_99,user99@example.com,2022-04-09,F
100,Customer_100,user100@example.com,2022-04-10,M
